Name;Target market;RESTRICTION;Operator/Registry;Notes
.discount;Discount sites, bargain hunters, coupon sites, coupon pages, coupon-themed blogs;;Donuts Inc;
.diy;do-it-yourself;Lifestyle Domain Holdings, Inc.;;
.docs;Charleston Road Registry Inc. (Google);;;
.doctor;Doctors, any business with “doctor” in the name, other health care providers, PhD experts in any field;Donuts Inc;;
.dog;Dog breeders, dog walking, grooming & sitting businesses, veterinarians, animal shelters & adoption centers, pet stores & suppliers;;Donuts Inc;
.domains;Any web-based service, network consultants, domain brokers, resellers and registrars, home-related products and services;;Donuts Inc;
.dot;Dish DBS Corporation;;;
.download;technology;;Global Registry Services Ltd;
.drive;vehicles;Charleston Road Registry Inc. (Google);;
.duck;Reserved for Duck®;Johnson Shareholdings, Inc.;;
.earth;Interlink Co., Ltd.;;;
.eat;restaurants and foodies;;Google;
.eco;Sustainability minded companies, non-profits and professionals.;Open to anyone pledging a commitment to sustainability action.;Big Room Inc.;
.education;Colleges & universities, public schools, PTAs & other school groups, education research organizations, any organization focused on educating its audience;;Donuts Inc;
.email;Advertising/Marketing/PR/Design agencies, email marketing experts, CRM and marketing technology specialists, anyone who wants a memorable email address;;Donuts Inc;
.energy;Electrical, mechanical, chemical, nuclear & thermal energy producers, solar, wind, hydro, bio & other sustainable alternative energy producers, battery manufacturers & oil industry R&D, energy conservation organizations, energy food & drink manufacturers;;Donuts Inc;
.engineer;Computer and software engineering companies, civil, electrical, mechanical, and architectural engineering companies, environmental, chemical, geotechnical, and bio engineering companies, engineer training or educational institutions, railroad engineers;;Donuts Inc;
.engineering;Computer and software engineering companies, civil, electrical, mechanical, and architectural engineering companies, environmental, chemical, geotechnical, and bio engineering companies, engineer training or educational institutions, railroad engineers;;Donuts Inc;
.edeka;edeka firms;;EDEKA Verband kaufmännischer Genossenschaften e.V.;
.entertainment;Ticket outlets, travel sites & local tourist sites, performance halls, theaters, & music venues, anyone in the entertainment industry, celebrity news sites;;Donuts Inc;
.enterprises;Entrepreneurs, startups, parent & holding companies, enterprise SaaS solutions & tech services;;Donuts Inc;
.equipment;Home improvement stores, construction equipment rentals, construction equipment sales, sporting goods stores;;Donuts Inc;
.esq;lawyers, law firms, legal professionals;To be restricted to verified lawyers and attorneys;Google;
.estate;Estate sale management & appraisal services, estate planners & lawyers, real estate agents & brokers;;Donuts Inc;
.events;Event planners, sports & gaming agencies/sites, ticket sale/resale sites, city guides & community centers, performance halls, music clubs/bars;;Donuts Inc;
.exchange;Foreign currency exchanges, stock brokers, investment fund traders, ETF distributors, brokers, & dealers;;Donuts Inc;
.expert;Home services providers, online review sites, skilled worker databases, freelanceers, consultants, & subject matter experts;;Donuts Inc;
.exposed;Tabloid sites, celebrity romance blog, TV spoiler sites, sites that host leaked documents, investigative journalism sites;;Donuts Inc;
.express;Transportation services, messenger services, delivery & shipping services, direct-to-consumer stores;;Donuts Inc;
